año,municipio,poblacion,pct_poverty,median_hh_income,pct_unemployment,pct_bachelors_plus,median_age,area_km2,densidad_pob_km2,fuente
2006,Aguadilla,63129.0,49.4,16580.0,15.0,19.2,36.6,101.5,622.0,estimado_anual
2007,Aguadilla,62532.0,49.3,16660.0,15.0,19.4,36.7,101.5,616.1,estimado_anual
2008,Aguadilla,61913.0,49.2,16740.0,15.0,19.6,36.8,101.5,610.0,estimado_anual
2009,Aguadilla,61353.0,49.1,16820.0,15.0,19.8,36.9,101.5,604.5,estimado_anual
2010,Aguadilla,60898.0,49.0,16900.0,15.0,20.0,37.0,101.5,600.0,censo_decenal
2011,Aguadilla,60640.0,48.8,16944.0,15.0,20.2,37.2,101.5,597.4,estimado_anual
2012,Aguadilla,60172.0,48.6,16988.0,15.0,20.4,37.4,101.5,592.8,estimado_anual
2013,Aguadilla,59766.0,48.4,17032.0,15.0,20.6,37.6,101.5,588.8,estimado_anual
2014,Aguadilla,59345.0,48.2,17076.0,15.0,20.8,37.8,101.5,584.7,estimado_anual
2015,Aguadilla,58608.0,48.0,17120.0,15.0,21.0,38.0,101.5,577.4,estimado_anual
2016,Aguadilla,57739.0,47.8,17164.0,15.0,21.2,38.2,101.5,568.9,estimado_anual
2017,Aguadilla,56765.0,47.6,17208.0,15.0,21.4,38.4,101.5,559.3,estimado_anual
2018,Aguadilla,54944.0,47.4,17252.0,15.0,21.6,38.6,101.5,541.3,estimado_anual
2019,Aguadilla,55162.0,47.2,17296.0,15.0,21.8,38.8,101.5,543.5,estimado_anual
2020,Aguadilla,55040.0,47.0,17340.0,15.0,22.0,39.0,101.5,542.3,censo_decenal
2021,Aguadilla,54599.0,46.8,17384.0,15.0,22.2,39.2,101.5,537.9,estimado_anual
2022,Aguadilla,53857.0,46.6,17428.0,15.0,22.4,39.4,101.5,530.6,estimado_anual
2023,Aguadilla,53569.0,46.4,17472.0,15.0,22.6,39.6,101.5,527.8,estimado_anual
2024,Aguadilla,53528.0,46.2,17516.0,15.0,22.8,39.8,101.5,527.4,estimado_anual
2025,Aguadilla,53219.0,46.0,17560.0,15.0,23.0,40.0,101.5,524.3,estimado_anual
1950,Aguas Buenas,15603.0,,,,,,74.0,210.9,estimado_poblacion
1951,Aguas Buenas,15749.0,,,,,,74.0,212.8,estimado_poblacion
1952,Aguas Buenas,15899.0,,,,,,74.0,214.9,estimado_poblacion
1953,Aguas Buenas,16038.0,,,,,,74.0,216.7,estimado_poblacion
1954,Aguas Buenas,16187.0,,,,,,74.0,218.7,estimado_poblacion
1955,Aguas Buenas,16335.0,,,,,,74.0,220.7,estimado_poblacion
1956,Aguas Buenas,16481.0,,,,,,74.0,222.7,estimado_poblacion
1957,Aguas Buenas,16631.0,,,,,,74.0,224.7,estimado_poblacion
1958,Aguas Buenas,16777.0,,,,,,74.0,226.7,estimado_poblacion
1959,Aguas Buenas,16921.0,,,,,,74.0,228.7,estimado_poblacion
1960,Aguas Buenas,17072.0,,,,,,74.0,230.7,estimado_poblacion
1961,Aguas Buenas,17227.0,,,,,,74.0,232.8,estimado_poblacion
1962,Aguas Buenas,17386.0,,,,,,74.0,234.9,estimado_poblacion
1963,Aguas Buenas,17540.0,,,,,,74.0,237.0,estimado_poblacion
1964,Aguas Buenas,17700.0,,,,,,74.0,239.2,estimado_poblacion
1965,Aguas Buenas,17857.0,,,,,,74.0,241.3,estimado_poblacion
1966,Aguas Buenas,18011.0,,,,,,74.0,243.4,estimado_poblacion
1967,Aguas Buenas,18169.0,,,,,,74.0,245.5,estimado_poblacion
1968,Aguas Buenas,18325.0,,,,,,74.0,247.6,estimado_poblacion
1969,Aguas Buenas,18480.0,,,,,,74.0,249.7,estimado_poblacion
1970,Aguas Buenas,18693.0,65.0,2000.0,17.0,4.0,28.0,74.0,252.6,censo_decenal
1971,Aguas Buenas,19078.0,64.4,2310.0,17.0,4.4,28.4,74.0,257.8,estimado_anual
1972,Aguas Buenas,19463.0,63.8,2620.0,17.0,4.8,28.8,74.0,263.0,estimado_anual
1973,Aguas Buenas,19846.0,63.2,2930.0,17.0,5.2,29.2,74.0,268.2,estimado_anual
1974,Aguas Buenas,20229.0,62.6,3240.0,17.0,5.6,29.6,74.0,273.4,estimado_anual
1975,Aguas Buenas,20608.0,62.0,3550.0,17.0,6.0,30.0,74.0,278.5,estimado_anual
1976,Aguas Buenas,20991.0,61.4,3860.0,17.0,6.4,30.4,74.0,283.7,estimado_anual
1977,Aguas Buenas,21372.0,60.8,4170.0,17.0,6.8,30.8,74.0,288.8,estimado_anual
1978,Aguas Buenas,21762.0,60.2,4480.0,17.0,7.2,31.2,74.0,294.1,estimado_anual
1979,Aguas Buenas,22144.0,59.6,4790.0,17.0,7.6,31.6,74.0,299.2,estimado_anual
1980,Aguas Buenas,22489.0,59.0,5100.0,17.0,8.0,32.0,74.0,303.9,censo_decenal
1981,Aguas Buenas,22739.0,58.6,5500.0,16.8,8.3,32.3,74.0,307.3,estimado_anual
1982,Aguas Buenas,23001.0,58.2,5900.0,16.6,8.6,32.6,74.0,310.8,estimado_anual
1983,Aguas Buenas,23271.0,57.8,6300.0,16.4,8.9,32.9,74.0,314.5,estimado_anual
1984,Aguas Buenas,23556.0,57.4,6700.0,16.2,9.2,33.2,74.0,318.3,estimado_anual
1985,Aguas Buenas,23850.0,57.0,7100.0,16.0,9.5,33.5,74.0,322.3,estimado_anual
1986,Aguas Buenas,24157.0,56.6,7500.0,15.8,9.8,33.8,74.0,326.4,estimado_anual
1987,Aguas Buenas,24477.0,56.2,7900.0,15.6,10.1,34.1,74.0,330.8,estimado_anual
1988,Aguas Buenas,24811.0,55.8,8300.0,15.4,10.4,34.4,74.0,335.3,estimado_anual
1989,Aguas Buenas,25157.0,55.4,8700.0,15.2,10.7,34.7,74.0,340.0,estimado_anual
1990,Aguas Buenas,25497.0,55.0,9100.0,15.0,11.0,35.0,74.0,344.6,censo_decenal
1991,Aguas Buenas,25800.0,54.6,9870.0,14.8,11.3,35.4,74.0,348.6,estimado_anual
1992,Aguas Buenas,26110.0,54.2,10640.0,14.6,11.6,35.8,74.0,352.8,estimado_anual
1993,Aguas Buenas,26438.0,53.8,11410.0,14.4,11.9,36.2,74.0,357.3,estimado_anual
1994,Aguas Buenas,26778.0,53.4,12180.0,14.2,12.2,36.6,74.0,361.9,estimado_anual
1995,Aguas Buenas,27133.0,53.0,12950.0,14.0,12.5,37.0,74.0,366.7,estimado_anual
1996,Aguas Buenas,27501.0,52.6,13720.0,13.8,12.8,37.4,74.0,371.6,estimado_anual
1997,Aguas Buenas,27889.0,52.2,14490.0,13.6,13.1,37.8,74.0,376.9,estimado_anual
1998,Aguas Buenas,28288.0,51.8,15260.0,13.4,13.4,38.2,74.0,382.3,estimado_anual
1999,Aguas Buenas,28707.0,51.4,16030.0,13.2,13.7,38.6,74.0,387.9,estimado_anual
2000,Aguas Buenas,28680.0,51.0,16800.0,13.0,14.0,39.0,74.0,387.6,censo_decenal
2001,Aguas Buenas,28822.0,50.8,16880.0,13.0,14.2,39.1,74.0,389.5,estimado_anual
2002,Aguas Buenas,28925.0,50.6,16960.0,13.0,14.4,39.2,74.0,390.9,estimado_anual
2003,Aguas Buenas,29009.0,50.4,17040.0,13.0,14.6,39.3,74.0,392.0,estimado_anual
2004,Aguas Buenas,29078.0,50.2,17120.0,13.0,14.8,39.4,74.0,392.9,estimado_anual
2005,Aguas Buenas,29100.0,50.0,17200.0,13.0,15.0,39.5,74.0,393.2,estimado_anual
2006,Aguas Buenas,29036.0,49.8,17280.0,13.0,15.2,39.6,74.0,392.4,estimado_anual
2007,Aguas Buenas,28934.0,49.6,17360.0,13.0,15.4,39.7,74.0,391.0,estimado_anual
2008,Aguas Buenas,28815.0,49.4,17440.0,13.0,15.6,39.8,74.0,389.4,estimado_anual
2009,Aguas Buenas,28724.0,49.2,17520.0,13.0,15.8,39.9,74.0,388.2,estimado_anual
2010,Aguas Buenas,28645.0,49.0,17600.0,13.0,16.0,40.0,74.0,387.1,censo_decenal
2011,Aguas Buenas,28283.0,48.9,17631.2,13.0,16.1,40.1,74.0,382.2,estimado_anual
2012,Aguas Buenas,27959.0,48.8,17662.4,13.0,16.2,40.2,74.0,377.8,estimado_anual
2013,Aguas Buenas,27647.0,48.7,17693.6,13.0,16.3,40.3,74.0,373.6,estimado_anual
2014,Aguas Buenas,27172.0,48.6,17724.8,13.0,16.4,40.4,74.0,367.2,estimado_anual
2015,Aguas Buenas,26700.0,48.5,17756.0,13.0,16.5,40.5,74.0,360.8,estimado_anual
